	subject	Rest_Q	diff_easy_ProbeAccuracy	diff_hard_ProbeAccuracy	same_easy_ProbeAccuracy	same_hard_ProbeAccuracy	diff_easy_ProbeRT	diff_hard_ProbeRT	same_easy_ProbeRT	same_hard_ProbeRT	diff_easy_SearchAccuracy	diff_hard_SearchAccuracy	same_easy_SearchAccuracy	same_hard_SearchAccuracy	diff_easy_SearchRT	diff_hard_SearchRT	same_easy_SearchRT	same_hard_SearchRT	low_easy_BetaQ	low_hard_BetaQ	high_easy_BetaQ	high_hard_BetaQ	face_low_easy_BetaQ	face_low_hard_BetaQ	face_high_easy_BetaQ	face_high_hard_BetaQ	house_low_easy_BetaQ	house_low_hard_BetaQ	house_high_easy_BetaQ	house_high_hard_BetaQ
0	102	0.615	0.5111111110000001	0.6	0.704545455	0.41463414600000004	1.185739578	1.218751575	1.3239434159999999	1.0993403179999999	0.92	0.923076923	0.96875	0.944444444	1156.6956519999999	1504.208333	1152.4838710000001	1326.7647060000002	0.6941714	0.5992886	0.7008144	0.6234554	0.637435	0.5531904	0.5981349	0.6098605	0.6792815	0.7212832	0.701019	0.6412035
2	104	0.546	0.642857143	0.734693878	0.607843137	0.553571429	1.2984801670000001	1.310509647	1.483376265	1.470023081	0.972972973	0.837209302	0.939393939	1.0	1407.305556	1466.805556	1424.032258	1545.7741939999999	0.7027419	0.6165452	0.6961664	0.5884124	0.6984074	0.6486294	0.6240872	0.5702221	0.6849703	0.7134123	0.7151693	0.6530672
3	105	0.588	0.649122807	0.732142857	0.706896552	0.74137931	1.043700146	0.986646059	0.927714073	1.049777307	0.9487179490000001	0.953488372	0.953488372	0.977272727	1022.189189	1038.95122	885.0	1164.697674	0.7100114	0.6662233	0.5937078	0.6387929	0.7054093	0.6070762	0.6573571	0.6504122	0.785693	0.6665304	0.6569608	0.6331448
4	106	0.575	0.844827586	0.8666666670000001	0.847457627	0.85	0.8932153629999999	0.951268742	1.024553216	1.016062716	0.9607843140000001	1.0	0.980392157	1.0	931.0408162999998	1176.9038460000002	809.7	1033.862745	0.63726	0.6229827	0.7206181	0.6741138	0.6817521	0.6372963	0.7269235	0.5962836	0.6281751	0.6048964	0.6522679	0.5232012
5	107	0.627	0.666666667	0.709090909	0.7142857140000001	0.581818182	1.0386684529999999	1.0401623690000001	1.142107743	1.1038790840000001	0.974358974	0.975	0.9523809520000001	0.914285714	1254.1315789999999	1433.769231	1196.3	1393.125	0.6661389	0.6389838	0.7011881	0.656815	0.6698345	0.6222956	0.6663175	0.5877483	0.6401061	0.6454837	0.6898581	0.6104306
6	108	0.648	0.857142857	0.879310345	0.7241379309999999	0.8275862070000001	1.011697792	1.052966757	1.119349993	1.116844269	0.9411764709999999	0.962264151	0.9767441859999999	1.0	1190.8125	1157.411765	1128.190476	1259.020833	0.6251118	0.6560638	0.614393	0.5923437	0.5625753	0.6351702	0.6589649	0.6142034	0.6669583	0.5881215	0.571071	0.6431867
7	109	0.654	0.660714286	0.8035714290000001	0.666666667	0.7142857140000001	0.932631835	0.984180191	1.019081005	1.081390423	0.9736842109999999	1.0	0.974358974	1.0	1198.513514	1367.911111	1095.710526	1293.975	0.6782959	0.6067018	0.6104916	0.57759	0.7264355	0.6560311	0.6601807	0.6293361	0.6709116	0.6222124	0.6996847	0.5599533
8	110	0.68	0.641025641	0.605263158	0.658536585	0.8	1.193977032	1.1036348	1.1816388070000001	1.295134666	1.0	0.884615385	0.9642857140000001	1.0	1099.36	1361.521739	1187.0	1225.1875	0.6222017	0.6073036	0.5847202	0.6591641	0.4710196	0.5692049	0.4752513	0.6761597	0.6367241	0.5672572	0.6157191	0.6435186
10	112	0.523	0.847457627	0.754385965	0.6949152540000001	0.763636364	1.305543272	1.185810126	1.3493270590000002	1.263616417	1.0	0.977272727	1.0	0.933333333	1211.56	1555.6046509999999	1326.365854	1315.261905	0.6955641	0.6649606	0.6033613	0.621251	0.6491152	0.6374587	0.5699717	0.7052487	0.6771907	0.6820038	0.6416447	0.5005598
11	114	0.601	0.8620689659999999	0.814814815	0.762711864	0.762711864	1.060576822	1.015114786	1.096770362	1.028677004	0.980392157	0.9361702129999999	0.97826087	1.0	838.46	1039.068182	895.6888889	1029.666667	0.5421521	0.6094307	0.6972543	0.5602663	0.6583705	0.5705411	0.6345593	0.4509681	0.4755994	0.6647158	0.6748086	0.5890414
