subject	Rest_Q	r1_Q	r2_Q	r3_Q	r4_Q	r5_Q	r6_Q	r7_Q	r8_Q	r9_Q	r10_Q	TaskQ_Avg	ProbeAccuracy_Total	ProbeRT_Total	SearchAccuracy_Total	SearchRT_Total	r1_ProbeAccuracy	r2_ProbeAccuracy	r3_ProbeAccuracy	r4_ProbeAccuracy	r5_ProbeAccuracy	r6_ProbeAccuracy	r7_ProbeAccuracy	r8_ProbeAccuracy	r9_ProbeAccuracy	r10_ProbeAccuracy	r1_ProbeRT	r2_ProbeRT	r3_ProbeRT	r4_ProbeRT	r5_ProbeRT	r6_ProbeRT	r7_ProbeRT	r8_ProbeRT	r9_ProbeRT	r10_ProbeRT	r1_SearchAccuracy	r2_SearchAccuracy	r3_SearchAccuracy	r4_SearchAccuracy	r5_SearchAccuracy	r6_SearchAccuracy	r7_SearchAccuracy	r8_SearchAccuracy	r9_SearchAccuracy	r10_SearchAccuracy	r1_SearchRT	r2_SearchRT	r3_SearchRT	r4_SearchRT	r5_SearchRT	r6_SearchRT	r7_SearchRT	r8_SearchRT	r9_SearchRT	r10_SearchRT	diff_easy_ProbeAccuracy	diff_hard_ProbeAccuracy	same_easy_ProbeAccuracy	same_hard_ProbeAccuracy	diff_easy_ProbeRT	diff_hard_ProbeRT	same_easy_ProbeRT	same_hard_ProbeRT	diff_easy_SearchAccuracy	diff_hard_SearchAccuracy	same_easy_SearchAccuracy	same_hard_SearchAccuracy	diff_easy_SearchRT	diff_hard_SearchRT	same_easy_SearchRT	same_hard_SearchRT
102	6.15E-01	5.72E-01	6.82E-01	6.84E-01	5.83E-01	5.48E-01	5.97E-01	5.92E-01	6.38E-01			6.12E-01	0.558823529	1.223716625	0.940594059	1273.547368	0.590909091	0.444444444	0.5	0.652173913	0.619047619	0.666666667	0.5	0.476190476			1400.769231	1199.375	1189.454545	1235.333333	1099.846154	1270.142857	1143.090909	1218.1			1	0.8	1	1	0.928571429	0.875	1	0.909090909			1442.692308	1242.875	1177.727273	1223.866667	1242.615385	1314.142857	1232.636364	1286.5			0.511111111	0.6	0.704545455	0.414634146	1.185739578	1.218751575	1.323943416	1.099340318	0.92	0.923076923	0.96875	0.944444444	1156.695652	1504.208333	1152.483871	1326.764706
103													0.739884393	1.42114395	0.962406015	1525.273438	0.823529412	0.652173913	0.739130435	0.85	0.636363636	0.695652174	0.727272727	0.826086957			1345.357143	1404.666667	1474.176471	1378.882353	1458.928571	1489.8125	1338.625	1464.263158			0.823529412	1	0.944444444	0.944444444	1	1	1	1			1805.571429	1589.066667	1687.529412	1477.411765	1294.357143	1479.6875	1593	1317.526316			0.727272727	0.727272727	0.772727273	0.731707317	1.390836063	1.406480531	1.405304724	1.487064467	0.941176471	1	0.944444444	0.967741935	1498.625	1602.21875	1449.735294	1557.233333
104	5.46E-01	6.49E-01	7.12E-01	5.55E-01	6.45E-01	5.55E-01	5.01E-01	6.17E-01	6.25E-01	4.85E-01	5.46E-01	5.85E-01	0.632075472	1.384171739	0.930555556	1459.19403	0.5	0.65	0.583333333	0.636363636	0.476190476	0.782608696	0.714285714	0.619047619	0.571428571	0.739130435	1575.75	1367.153846	1364	1338.714286	1402	1439.944444	1408.266667	1351.384615	1351.833333	1317.588235	0.8	0.928571429	1	0.933333333	0.833333333	1	0.882352941	0.928571429	1	0.944444444	2007.25	1568.923077	1570.357143	1572.928571	1360.8	1277.277778	1411.266667	1240.230769	1425	1416.529412	0.642857143	0.734693878	0.607843137	0.553571429	1.298480167	1.310509647	1.483376265	1.470023081	0.972972973	0.837209302	0.939393939	1	1407.305556	1466.805556	1424.032258	1545.774194
105	5.88E-01	6.31E-01	5.49E-01	5.82E-01	5.41E-01	5.76E-01	6.30E-01	5.42E-01	4.89E-01	6.38E-01	6.67E-01	5.85E-01	0.707423581	1.001519105	0.958579882	1029.537037	0.666666667	0.565217391	0.708333333	0.739130435	0.636363636	0.666666667	0.782608696	0.818181818	0.791666667	0.695652174	980.9285714	1025.384615	1144.823529	1121.470588	1061.142857	1055	878.2222222	1003.888889	929.5789474	836.1875	0.875	1	1	1	0.875	1	0.947368421	0.947368421	1	0.941176471	981.5714286	827.4615385	1425.470588	1168.058824	1087.857143	1034.0625	867.7222222	1112.222222	843	922.8125	0.649122807	0.732142857	0.706896552	0.74137931	1.043700146	0.986646059	0.927714073	1.049777307	0.948717949	0.953488372	0.953488372	0.977272727	1022.189189	1038.95122	885	1164.697674
106	5.75E-01	6.41E-01	6.23E-01	6.56E-01	4.99E-01	6.81E-01	6.61E-01	6.67E-01	5.80E-01	6.07E-01	6.19E-01	6.19E-01	0.852320675	0.971685083	0.985365854	990.2574257	0.916666667	0.869565217	0.666666667	0.708333333	0.875	0.916666667	0.958333333	0.826086957	0.826086957	0.958333333	1048.545455	1020.35	1124.125	965.3529412	1004.47619	1003.227273	884.6086957	905.4736842	934.6315789	866.826087	1	0.952380952	1	1	1	1	1	0.95	0.95	1	1127.636364	1038.75	980	884.2352941	1071.095238	887.6363636	1041.434783	1066.894737	976.1052632	823.7391304	0.844827586	0.866666667	0.847457627	0.85	0.893215363	0.951268742	1.024553216	1.016062716	0.960784314	1	0.980392157	1	931.0408163	1176.903846	809.7	1033.862745
107	6.27E-01	5.92E-01	6.51E-01	6.41E-01	6.41E-01	7.25E-01	6.42E-01	6.82E-01	6.14E-01	6.66E-01	5.57E-01	6.40E-01	0.668161435	1.080833383	0.955128205	1315.47651	0.666666667	0.571428571	0.583333333	0.739130435	0.708333333	0.636363636	0.842105263	0.772727273	0.583333333	0.608695652	1064.785714	970.6666667	1093.142857	1092.411765	1139.588235	1023.928571	940.9375	1131.294118	1194.071429	1135.714286	0.933333333	0.923076923	1	0.944444444	1	1	0.842105263	0.944444444	1	1	1219.142857	1339.916667	1321.214286	1240.941176	1289.882353	1260	1276.875	1255.235294	1537.642857	1457.285714	0.666666667	0.709090909	0.714285714	0.581818182	1.038668453	1.040162369	1.142107743	1.103879084	0.974358974	0.975	0.952380952	0.914285714	1254.131579	1433.769231	1196.3	1393.125
108	6.48E-01	6.84E-01	6.41E-01	6.43E-01	5.96E-01	6.32E-01	6.85E-01	6.53E-01	5.26E-01	5.90E-01	6.59E-01	6.32E-01	0.82173913	1.07346044	0.969230769	1185.206349	0.75	0.875	0.681818182	0.956521739	0.791666667	0.954545455	0.826086957	0.913043478	0.782608696	0.681818182	1142.5	1278.952381	978	1016.045455	958.5263158	1110.142857	999.2105263	1121	1009.666667	1080.466667	1	1	0.9375	0.956521739	1	1	0.95	0.954545455	1	0.882352941	1295.888889	1364.238095	1159.4	1163	1081.210526	1166.095238	1152.421053	1167.238095	1118.222222	1165.666667	0.857142857	0.879310345	0.724137931	0.827586207	1.011697792	1.052966757	1.119349993	1.116844269	0.941176471	0.962264151	0.976744186	1	1190.8125	1157.411765	1128.190476	1259.020833
109	6.54E-01	5.01E-01	5.80E-01	7.02E-01	5.82E-01	6.17E-01	6.45E-01	6.28E-01	5.44E-01	6.64E-01	6.64E-01	6.17E-01	0.711111111	1.004851135	0.987654321	1245.60625	0.75	0.608695652	0.75	0.666666667	0.761904762	0.608695652	0.791666667	0.681818182	0.652173913	0.833333333	959.5555556	1162.928571	943.5333333	1093.928571	986.875	864.5	1101.842105	975.5333333	1011.4	956	1	1	0.9375	1	0.941176471	1	1	1	1	1	1322.166667	1494.928571	1471	1412.071429	1123.5625	1231.785714	1090.105263	1124.466667	1098.066667	1173.15	0.660714286	0.803571429	0.666666667	0.714285714	0.932631835	0.984180191	1.019081005	1.081390423	0.973684211	1	0.974358974	1	1198.513514	1367.911111	1095.710526	1293.975
110	6.80E-01	6.29E-01	6.19E-01	6.18E-01	6.32E-01	5.82E-01	7.08E-01	6.45E-01				6.39E-01	0.67721519	1.20169704	0.963963964	1215.457944	0.666666667	0.608695652	0.666666667	0.666666667	0.75	0.739130435	0.636363636				1197.9375	1162.071429	1234.357143	1150.214286	1280.722222	1192.941176	1173.714286				1	0.933333333	0.875	1	1	1	0.933333333				1265	1067.214286	1198.071429	1283.714286	1328.666667	1104.176471	1245.785714				0.641025641	0.605263158	0.658536585	0.8	1.193977032	1.1036348	1.181638807	1.295134666	1	0.884615385	0.964285714	1	1099.36	1361.521739	1187	1225.1875
111													0.648888889	1.141773934	0.954248366	1181.486301	0.434782609	0.681818182	0.818181818	0.652173913	0.739130435	0.523809524	0.782608696	0.565217391	0.590909091	0.695652174	1126.9	1287	1280.666667	1283.2	1070.588235	1301.272727	1149.444444	924.9230769	976.1538462	994.375	0.909090909	0.9375	0.9	1	1	0.916666667	1	1	0.928571429	0.941176471	1362	1276.466667	1390	1292.666667	1082.705882	1078.090909	1080.833333	1067.615385	976.3846154	1189.25	0.649122807	0.732142857	0.563636364	0.649122807	1.156247089	1.132828402	1.149074635	1.131096592	0.973684211	0.953488372	0.939393939	0.948717949	1121.648649	1241.317073	1101.354839	1242.162162
